@relation FuncionCuadratica

@attribute controlVar0 numeric
@attribute controlVar1 numeric
@attribute controlVar2 numeric
@attribute controlVar3 numeric
@attribute controlVar4 numeric
@attribute controlVar5 numeric
@attribute varObjetivo numeric

@data
-100,0,-35.68008,5.10461,27.294577,59.691113,51.306889
-100,0,-12.504941,4.41597,44.17269,0,24.943075
-100,0,21.480358,14.507187,45.604231,59.848686,71.681541
-100,0,42.977276,18.944187,6.27555,116.116165,140.647247
-100,0,5.809073,17.132686,-23.236252,155.703903,137.230637
-100,0,11.477242,28.128126,-40.13212,142.490158,185.96759
-100,0,-39.217808,23.582935,-15.036505,110.177948,125.505264
-100,0,-35.71912,17.758716,27.327486,56.517151,51.137547
-100,0,-15.916609,20.422111,57.874872,0,40.000755
-100,0,13.204343,21.739809,37.602061,55.1852,50.754425
-100,0,49.591286,40.051313,4.383524,104.325668,164.292084
-100,0,1.980056,23.752064,-7.920141,131.042023,90.479706
-100,0,2.630898,27.084419,-4.721732,119.593864,75.343475
-100,0,-40.662678,41.616175,-16.456953,96.914429,130.706711
-100,0,-41.313927,33.693739,28.918408,51.204887,60.935989
-100,0,-13.531677,29.224468,48.289171,0,30.472294
-100,0,12.914965,32.549509,37.322169,49.198059,50.880783
-100,0,28.156893,40.438578,10.515121,90.764099,100.773804
-100,0,1.792473,35.09437,-7.169888,110.287231,88.471085
-100,0,6.906084,52.793894,-21.685142,100.980576,128.503189
-100,0,-35.36116,53.064623,-11.38952,83.84938,111.385078
-100,0,-53.79948,58.423826,32.444319,45.381683,84.729897
-100,0,-12.967924,39.292475,45.97975,0,28.763691
-100,0,36.831539,20.563248,54.436823,68.143654,102.945564
-100,0,14.34258,18.358337,12.753626,113.273567,49.264076
-100,0,-0.652838,18.738947,-6.083106,136.523407,67.970879
-100,0,7.712956,6.616539,-37.736299,172.475357,195.734329
-100,0,-39.525322,5.194164,-1.75606,119.573586,112.143028
-100,0,-42.926388,4.707459,41.625456,59.857437,56.967442
-100,0,-19.564127,6.597445,98.71068,0,60.595322
-100,0,29.082479,12.160548,58.057654,59.938564,76.015114
-100,0,39.241947,12.873764,13.425334,118.131248,121.068176
-100,0,-0.081574,8.885846,0.489234,163.276291,81.015442
-100,0,5.211324,19.326054,-22.746483,154.077209,150.198349
-100,0,-48.620037,20.233292,-7.723947,115.121391,138.379608
-100,0,-44.549992,16.646667,43.318819,58.321354,58.761749
-100,0,-10.553639,12.88566,54.794699,0,15.459501
-100,0,31.123665,25.461199,59.73836,57.616955,82.464066
-100,0,27.317385,20.616514,17.89284,111.773277,87.735954
-100,0,-1.345087,15.771829,8.070413,145.5065,58.093872
-100,0,2.096439,25.756653,-4.041387,136.935822,92.817322
-100,0,-34.422913,27.450802,3.961184,107.334,90.404686
-100,0,-47.188271,29.526113,44.306177,55.434158,63.181461
-100,0,-13.183227,28.355055,70.539187,0,32.251221
-100,0,22.906633,32.204424,52.973902,54.192616,62.468834
-100,0,36.774754,36.93514,14.349652,103.115494,116.537064
-100,0,-0.448976,27.473644,2.693708,129.264603,74.807495
-100,0,5.585995,48.293104,-24.896007,121.593391,156.209503
-100,0,-21.264029,29.465895,14.783741,98.216583,45.137897
-100,0,-65.435165,52.717771,51.122023,51.75478,96.12133
-100,0,-13.438895,40.896517,72.035189,0,34.852669
-100,0,17.854996,18.422169,47.300837,64.600052,45.017315
-100,0,39.240669,19.38232,11.334905,116.241913,115.119034
-100,0,-0.070243,18.97192,-9.438157,147.878113,100.253128
-100,0,1.48956,4.098702,-0.635467,174.319351,102.945877
-100,0,-63.10154,5.845039,-8.174815,119.756592,176.746353
-100,0,-60.59536,5.044331,60.27841,59.918736,80.517776
-100,0,-10.992349,3.481377,69.811129,0,11.644251
-100,0,29.172009,9.442373,65.867609,59.966854,65.728928
-100,0,19.782141,6.670729,29.544281,118.91716,56.609226
-100,0,4.446456,15.225187,-35.572298,167.308548,210.860931
-100,0,-0.027244,11.965117,11.587533,160.297775,66.00882
-100,0,-29.116774,12.252437,21.744089,117.135262,57.741608
-100,0,-49.191902,15.328987,58.645087,59.02689,58.771702
-100,0,-11.973343,17.507973,99.330279,0,39.503151
-100,0,26.533224,13.640433,65.569964,59.026886,58.942509
-100,0,39.771072,21.465254,21.111048,115.045547,116.746086
-100,0,-1.854231,14.549864,14.833802,153.571503,56.887329
-100,0,-0.688007,22.209335,1.323399,146.845215,94.737839
-100,0,-33.00938,22.089929,17.194214,112.203461,72.646141
